id,report_number,origin,sponsor_entity_id,sponsor_id,sponsor_name,sponsor_description,report_type,report_date,election_year,sponsor_address,sponsor_city,sponsor_state,sponsor_zip,sponsor_email,total_unitemized,total_cycle,total_this_report,expenditure_amount,expenditure_description,date_expense_obligated,date_advertising_presented,vendor_name,vendor_address,vendor_city,vendor_state,vendor_zipcode,url,sponsor_location,vendor_location,candidate_name,ballot_name,ballot_number,ballot_type,portion_of_amount,for_or_against,sponsor_phone,candidate_entity_id,candidate_candidacy_id,candidate_committee_id,candidate_filer_id,candidate_last_name,candidate_first_name,candidate_office,candidate_jurisdiction,candidate_party,filer_id,funders_name,date_received,amount,funders_address,funders_city,funders_state,funders_zipcode,funders_location,funders_first_name,funders_occupation,funders_employer,funders_employer_city,funders_employer_state
14542.entity,7332,C6.3 - Identified Entities,32964,893,WASHINGTON REALTORS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2016-10-31T00:00:00.000,2016,504 14TH AVE SE,OLYMPIA,WA,98501,,0.00,710964.84,7233.33,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7332'},"{'type': 'Point', 'coordinates': [-122.89537, 47.03618]}",,TERI HICKEL ,,,,333.00,For,,3810,4245,8737,HICKT  354,HICKEL,TERI,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,REPUBLICAN,HICKT  354,,,,,,,,,,,,,
12665.expn,7346,C6.2 - Itemized Expenditures,34100,947,SOUTHWEST COMMUNITIES ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2016-10-31T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVUE,WA,98004,info@enterprisewashington.org,0.00,27375.99,27375.99,4170.17,DATA,2016-09-08T00:00:00.000,2016-09-30T00:00:00.000,WASHINGTON VOTER RESEARCH,1603 116TH AVE NE #120,BELLEVUE,WA,98004,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7346'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}","{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}",,,,,,,425-313-0074,,,,,,,,,,,,,,,,,,,,,,,
14544.entity,7332,C6.3 - Identified Entities,32964,893,WASHINGTON REALTORS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2016-10-31T00:00:00.000,2016,504 14TH AVE SE,OLYMPIA,WA,98501,,0.00,710964.84,7233.33,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7332'},"{'type': 'Point', 'coordinates': [-122.89537, 47.03618]}",,LYNDA WILSON ,,,,5620.00,For,,26343,4524,21508,WILSL2 682,WILSON,LYNDA,STATE SENATOR,LEG DISTRICT 17 - SENATE,REPUBLICAN,WILSL2 682,,,,,,,,,,,,,
14545.entity,7333,C6.3 - Identified Entities,33255,963,DENTISTS FOR PATIENT CARE (WA STATE DENTAL PAC) ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,126 NW CANAL STREET,SEATTLE,WA,98107,,0.00,109134.96,10738.66,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7333'},"{'type': 'Point', 'coordinates': [-122.35885, 47.65272]}",,MICHELLE CALDIER ,,,,10738.66,For,,585,4488,2540,CALDM  366,CALDIER,MICHELLE,STATE REPRESENTATIVE,LEG DISTRICT 26 - HOUSE,REPUBLICAN,CALDM  366,,,,,,,,,,,,,
14546.entity,7334,C6.3 - Identified Entities,32964,893,WASHINGTON REALTORS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2016-10-31T00:00:00.000,2016,504 14TH AVE SE,OLYMPIA,WA,98501,,0.00,718198.17,7233.33,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7334'},"{'type': 'Point', 'coordinates': [-122.89537, 47.03618]}",,LINDA KOCHMAR ,,,,333.00,For,,507,4156,10611,KOCHL  003,KOCHMAR,LINDA,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,REPUBLICAN,KOCHL  003,,,,,,,,,,,,,
12635.expn,7344,C6.2 - Itemized Expenditures,34056,698,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 926 PUBLIC SERVICE PAC ,"A business, union, group, association, organization, or other person using general treasury funds and/or funds received from others.",Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,"1914 N. 34TH STREET, STE 100",SEATTLE,WA,98103,ADAMMANN@SEIU925.ORG,0.00,15605.75,1809.28,1809.28,IN KIND STAFF/EXP - PROBST,2016-10-30T00:00:00.000,2016-10-30T00:00:00.000,SEIU L925 PUBLIC SERVICE PAC,1914 N 34TH STREET STE 100,SEATTLE,WA,98103,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7344'},"{'type': 'Point', 'coordinates': [-122.33444, 47.64833]}","{'type': 'Point', 'coordinates': [-122.33444, 47.64833]}",,,,,,,206 322-3010,,,,,,,,,,,,,,,,,,,,,,,
12636.expn,7345,C6.2 - Itemized Expenditures,32871,760,MASTER BUILDERS ASSN OF KING & SNOHOMISH CO AFFORDABLE HOUSING COUNCIL ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,335 116TH AVE SE,BELLEVUE,WA,98004,MPATTISON@MBAKS.COM,0.00,6153.51,6153.51,6153.51,POSTCARDS,2016-10-28T00:00:00.000,2016-10-30T00:00:00.000,REVOLVIS,"603 STEWART ST., STE 1000",SEATTLE,WA,98101,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7345'},"{'type': 'Point', 'coordinates': [-122.18604, 47.60654]}","{'type': 'Point', 'coordinates': [-122.3367, 47.61366]}",,,,,,,(425)460-8224,,,,,,,,,,,,,,,,,,,,,,,
12637.expn,7347,C6.2 - Itemized Expenditures,34100,947,SOUTHWEST COMMUNITIES ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-31T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVUE,WA,98004,info@enterprisewashington.org,0.00,56375.99,29000.00,25500.00,TV AD PLACEMENT,2016-09-26T00:00:00.000,2016-09-30T00:00:00.000,STRATEGIC MEDIA,7669 TAGER LOOP,DELAWARE,OH,43015,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7347'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}","{'type': 'Point', 'coordinates': [-83.05407, 40.29677]}",,,,,,,425-313-0074,,,,,,,,,,,,,,,,,,,,,,,
14622.entity,7394,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,853336.08,457.14,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7394'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,MICHAEL PELLICCIOTTI ,,,,175.80,For,,25657,4843,14964,PELLM  093,PELLICCIOTTI,MICHAEL,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,DEMOCRAT,PELLM  093,,,,,,,,,,,,,
14621.entity,7393,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,852878.94,622.80,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7393'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,CHRISTINE KILDUFF ,,,,278.22,For,,39,4173,10359,KILDC  466,KILDUFF,CHRISTINE,STATE REPRESENTATIVE,LEG DISTRICT 28 - HOUSE,DEMOCRAT,KILDC  466,,,,,,,,,,,,,
14620.entity,7393,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,852878.94,622.80,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7393'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,MARI KRUGER LEAVITT ,,,,344.58,For,,25649,4149,10716,KRUGM2 466,KRUGER LEAVITT,MARI,STATE REPRESENTATIVE,LEG DISTRICT 28 - HOUSE,DEMOCRAT,KRUGM2 466,,,,,,,,,,,,,
14619.entity,7392,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,852256.14,638.62,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7392'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,KATRINA ONDRACEK ,,,,324.50,For,,4098,4669,14434,ONDRK  258,ONDRACEK,KATRINA,STATE REPRESENTATIVE,LEG DISTRICT 44 - HOUSE,DEMOCRAT,ONDRK  258,,,,,,,,,,,,,
14618.entity,7392,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,852256.14,638.62,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7392'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,JOHNNY LOVICK ,,,,314.12,For,,26449,4106,11764,LOVIJ  012,LOVICK,JOHNNY,STATE REPRESENTATIVE,LEG DISTRICT 44 - HOUSE,DEMOCRAT,LOVIJ  012,,,,,,,,,,,,,
14617.entity,7391,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,851617.52,420.24,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7391'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,KRISTINE REEVES ,,,,246.48,For,,636,4568,16146,REEVK  093,REEVES,KRISTINE,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,DEMOCRAT,REEVK  093,,,,,,,,,,,,,
14616.entity,7391,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,851617.52,420.24,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7391'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,MICHAEL PELLICCIOTTI ,,,,173.76,For,,25657,4843,14964,PELLM  093,PELLICCIOTTI,MICHAEL,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,DEMOCRAT,PELLM  093,,,,,,,,,,,,,
14615.entity,7390,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,851197.28,515.64,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7390'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,CHRISTINE KILDUFF ,,,,244.88,For,,39,4173,10359,KILDC  466,KILDUFF,CHRISTINE,STATE REPRESENTATIVE,LEG DISTRICT 28 - HOUSE,DEMOCRAT,KILDC  466,,,,,,,,,,,,,
14614.entity,7390,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,851197.28,515.64,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7390'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,MARI KRUGER LEAVITT ,,,,270.76,For,,25649,4149,10716,KRUGM2 466,KRUGER LEAVITT,MARI,STATE REPRESENTATIVE,LEG DISTRICT 28 - HOUSE,DEMOCRAT,KRUGM2 466,,,,,,,,,,,,,
14613.entity,7389,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,850681.64,547.36,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7389'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,KATRINA ONDRACEK ,,,,298.94,For,,4098,4669,14434,ONDRK  258,ONDRACEK,KATRINA,STATE REPRESENTATIVE,LEG DISTRICT 44 - HOUSE,DEMOCRAT,ONDRK  258,,,,,,,,,,,,,
14612.entity,7389,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,850681.64,547.36,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7389'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,JOHNNY LOVICK ,,,,248.42,For,,26449,4106,11764,LOVIJ  012,LOVICK,JOHNNY,STATE REPRESENTATIVE,LEG DISTRICT 44 - HOUSE,DEMOCRAT,LOVIJ  012,,,,,,,,,,,,,
14611.entity,7388,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,850134.28,422.10,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7388'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,KRISTINE REEVES ,,,,255.54,For,,636,4568,16146,REEVK  093,REEVES,KRISTINE,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,DEMOCRAT,REEVK  093,,,,,,,,,,,,,
14610.entity,7388,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,850134.28,422.10,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7388'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,MICHAEL PELLICCIOTTI ,,,,166.56,For,,25657,4843,14964,PELLM  093,PELLICCIOTTI,MICHAEL,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,DEMOCRAT,PELLM  093,,,,,,,,,,,,,
14609.entity,7387,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,849712.18,475.78,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7387'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,CHRISTINE KILDUFF ,,,,212.10,For,,39,4173,10359,KILDC  466,KILDUFF,CHRISTINE,STATE REPRESENTATIVE,LEG DISTRICT 28 - HOUSE,DEMOCRAT,KILDC  466,,,,,,,,,,,,,
14608.entity,7387,C6.3 - Identified Entities,34327,150,WA EDUCATION ASSN PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 9100,FEDERAL WAY,WA,98063,,0.00,849712.18,475.78,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7387'},"{'type': 'Point', 'coordinates': [-122.33445, 47.2985]}",,MARI KRUGER LEAVITT ,,,,263.68,For,,25649,4149,10716,KRUGM2 466,KRUGER LEAVITT,MARI,STATE REPRESENTATIVE,LEG DISTRICT 28 - HOUSE,DEMOCRAT,KRUGM2 466,,,,,,,,,,,,,
14607.entity,7386,C6.3 - Identified Entities,33853,964,PEOPLE FOR THURSTON COUNTY ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 3039,LACEY,WA,98509,,0.00,60597.39,14456.07,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7386'},"{'type': 'Point', 'coordinates': [-122.80823, 47.0362]}",,JAMES (JIM) COOPER ,,,,6597.86,For,,2628,4994,4203,COOPJ  508,COOPER,JAMES (JIM),COUNTY COMMISSIONER,THURSTON CO,DEMOCRAT,COOPJ  508,,,,,,,,,,,,,
14606.entity,7386,C6.3 - Identified Entities,33853,964,PEOPLE FOR THURSTON COUNTY ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2016-10-31T00:00:00.000,2016,PO BOX 3039,LACEY,WA,98509,,0.00,60597.39,14456.07,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7386'},"{'type': 'Point', 'coordinates': [-122.80823, 47.0362]}",,KELSEY HULSE ,,,,7858.21,For,,3799,4229,9184,HULSK  509,HULSE,KELSEY,COUNTY COMMISSIONER,THURSTON CO,DEMOCRAT,HULSK  509,,,,,,,,,,,,,
14598.entity,7378,C6.3 - Identified Entities,33693,958,OUR VOTES COUNT,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2016-10-31T00:00:00.000,2016,1402 THIRD AVE STE 406,SEATTLE,WA,98101,,0.00,181735.93,108.06,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7378'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,MARISA PELOQUIN ,,,,108.06,For,,2125,4622,15030,PELOM  466,PELOQUIN,MARISA,STATE SENATOR,LEG DISTRICT 28 - SENATE,DEMOCRAT,PELOM  466,,,,,,,,,,,,,
14597.entity,7377,C6.3 - Identified Entities,33693,958,OUR VOTES COUNT ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2016-10-31T00:00:00.000,2016,1402 THIRD AVE STE 406,SEATTLE,WA,98101,,0.00,181627.87,383.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7377'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,KRISTINE REEVES ,,,,191.50,For,,636,4568,16146,REEVK  093,REEVES,KRISTINE,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,DEMOCRAT,REEVK  093,,,,,,,,,,,,,
14596.entity,7377,C6.3 - Identified Entities,33693,958,OUR VOTES COUNT ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2016-10-31T00:00:00.000,2016,1402 THIRD AVE STE 406,SEATTLE,WA,98101,,0.00,181627.87,383.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7377'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,MICHAEL PELLICCIOTTI ,,,,191.50,For,,25657,4843,14964,PELLM  093,PELLICCIOTTI,MICHAEL,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,DEMOCRAT,PELLM  093,,,,,,,,,,,,,
14595.entity,7376,C6.3 - Identified Entities,33693,958,OUR VOTES COUNT ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2016-10-31T00:00:00.000,2016,1402 THIRD AVE STE 406,SEATTLE,WA,98101,,0.00,181244.87,132.36,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7376'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,TIMOTHY PROBST ,,,,132.36,For,,27244,4592,15711,PROBT  686,PROBST,TIMOTHY,STATE SENATOR,LEG DISTRICT 17 - SENATE,OTHER,PROBT  686,,,,,,,,,,,,,
14594.entity,7374,C6.3 - Identified Entities,34108,851,SOUTH SOUND FUTURE PAC ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-31T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVE,WA,98004,,0.00,294175.65,27939.26,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7374'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}",,KRISTINE REEVES ,,,,27939.26,Against,,636,4568,16146,REEVK  093,REEVES,KRISTINE,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,DEMOCRAT,REEVK  093,,,,,,,,,,,,,
14584.entity,7364,C6.3 - Identified Entities,34323,226,WASHINGTON CONSERVATION VOTERS ACTION FUND ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2016-10-31T00:00:00.000,2016,PO BOX 1907,SEATTLE,WA,98111,,0.00,394540.54,29071.12,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7364'},"{'type': 'Point', 'coordinates': [-122.33653, 47.60891]}",,LYNDA WILSON ,,,,7267.78,Against,,26343,4761,21427,WILSL  682,WILSON,LYNDA,STATE REPRESENTATIVE,LEG DISTRICT 17 - HOUSE,REPUBLICAN,WILSL  682,,,,,,,,,,,,,
14583.entity,7364,C6.3 - Identified Entities,34323,226,WASHINGTON CONSERVATION VOTERS ACTION FUND ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2016-10-31T00:00:00.000,2016,PO BOX 1907,SEATTLE,WA,98111,,0.00,394540.54,29071.12,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7364'},"{'type': 'Point', 'coordinates': [-122.33653, 47.60891]}",,TIMOTHY PROBST ,,,,21803.34,For,,27244,4592,15711,PROBT  686,PROBST,TIMOTHY,STATE SENATOR,LEG DISTRICT 17 - SENATE,OTHER,PROBT  686,,,,,,,,,,,,,
14580.entity,7346,C6.3 - Identified Entities,34100,947,SOUTHWEST COMMUNITIES ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2016-10-31T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVUE,WA,98004,,0.00,27375.99,27375.99,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7346'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}",,TIMOTHY PROBST ,,,,27375.99,Against,,27244,4592,15711,PROBT  686,PROBST,TIMOTHY,STATE SENATOR,LEG DISTRICT 17 - SENATE,OTHER,PROBT  686,,,,,,,,,,,,,
14567.entity,7350,C6.3 - Identified Entities,34100,947,SOUTHWEST COMMUNITIES ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-31T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVUE,WA,98004,,0.00,135706.83,25000.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7350'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}",,TIMOTHY PROBST ,,,,25000.00,Against,,27244,4592,15711,PROBT  686,PROBST,TIMOTHY,STATE SENATOR,LEG DISTRICT 17 - SENATE,OTHER,PROBT  686,,,,,,,,,,,,,
14566.entity,7349,C6.3 - Identified Entities,34100,947,SOUTHWEST COMMUNITIES ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-31T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVUE,WA,98004,,0.00,110706.83,41177.08,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7349'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}",,LYNDA WILSON ,,,,41177.08,For,,26343,4524,21508,WILSL2 682,WILSON,LYNDA,STATE SENATOR,LEG DISTRICT 17 - SENATE,REPUBLICAN,WILSL2 682,,,,,,,,,,,,,
12638.expn,7347,C6.2 - Itemized Expenditures,34100,947,SOUTHWEST COMMUNITIES ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-31T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVUE,WA,98004,info@enterprisewashington.org,0.00,56375.99,29000.00,3500.00,TV AD DESIGN/PLACEMENT,2016-09-19T00:00:00.000,2016-09-30T00:00:00.000,STRATEGIC MEDIA,7669 STAGER LOOP,DELAWARE,OH,43015,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7347'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}","{'type': 'Point', 'coordinates': [-83.02463, 40.18164]}",,,,,,,425-313-0074,,,,,,,,,,,,,,,,,,,,,,,
12639.expn,7348,C6.2 - Itemized Expenditures,34100,947,SOUTHWEST COMMUNITIES ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-31T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVUE,WA,98004,info@enterprisewashington.org,0.00,69529.75,13153.76,6653.76,"MAIL DESIGN, PRINT & POSTAGE",2016-10-14T00:00:00.000,2016-10-19T00:00:00.000,GRIDIRON COMMUNICATIONS,2600 WEST OLIVE AVE,BURBANK,CA,91506,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7348'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}","{'type': 'Point', 'coordinates': [-118.32303, 34.16734]}",,,,,,,425-313-0074,,,,,,,,,,,,,,,,,,,,,,,
